"AU2010","pop2016","pop2013","pop2009","pop2006","pop1999","pop1990","pop1982","pop1975","pop1968","LIBAU2010","tailles_2016","pop_2013_2016","pop_2009_2013","pop_2006_2009","pop_1999_2006"
"12",665249,659063,650193,642523,632894,616366,594560,576892,539914,"Rouen","grande
(> 200.000 hab.)",0.311894626838427,0.339321582493635,0.396337618406339,0.215942280636439
"13",626504,611978,607681,598514,566602,532413,491380,448941,398423,"Toulon","grande
(> 200.000 hab.)",0.785026126241894,0.176311769955495,0.507957642224,0.785825806231943
"14",539064,539322,543591,545636,551605,560117,563402,573844,587525,"Douai - Lens","grande
(> 200.000 hab.)",-0.0159484903564322,-0.196914137124737,-0.125087064451979,-0.155309607614273
"15",607896,578673,542156,528736,474499,401910,340605,295952,242570,"Montpellier","grande
(> 200.000 hab.)",1.65576714934537,1.64294451361904,0.83898425863107,1.55815374250614
"16",529190,518981,508604,501866,464888,431712,394608,362736,326068,"Avignon","grande
(> 200.000 hab.)",0.65145486228384,0.506215863569337,0.445541795686699,1.09937975569743
"17",519834,515240,508176,508284,501634,517490,506511,508872,493910,"Saint-Étienne","grande
(> 200.000 hab.)",0.296328798791778,0.345720420696605,-0.00708315627812039,0.188313893581271
"18",494453,487363,475894,469559,444384,419093,395240,369134,325148,"Tours","grande
(> 200.000 hab.)",0.482589923731713,0.597127866602865,0.447705352556316,0.790319565092346
"19",482422,471437,459358,453229,434147,420930,407047,385948,344503,"Clermont-Ferrand","grande
(> 200.000 hab.)",0.770747505896097,0.651000218291986,0.448748740508087,0.616382295376217
"20",435356,432435,433921,432134,425465,420471,411201,400707,375468,"Nancy","grande
(> 200.000 hab.)",0.224654007614644,-0.0857248307925329,0.137653473865695,0.222433257551979
"21",435235,426252,417742,413136,396059,367272,334860,304770,258740,"Orléans","grande
(> 200.000 hab.)",0.697601798443181,0.505440653004463,0.370256445496908,0.604874113008025
"22",419974,410461,402955,397679,383328,359571,333034,308581,269996,"Caen","grande
(> 200.000 hab.)",0.766653396460404,0.462466719417942,0.440291312527208,0.52643981671765
"23",419633,394477,382636,379662,363739,338451,312430,285240,257289,"Angers","grande
(> 200.000 hab.)",2.08203420230799,0.764827258355227,0.260430613135654,0.613945621117273
"24",391187,389719,389684,388015,379745,365767,356911,350553,325099,"Metz","grande
(> 200.000 hab.)",0.125403228026366,0.00224533347674694,0.143174250219902,0.30824587267817
"25",385400,379278,372619,367679,357009,343239,322348,307577,271368,"Dijon","grande
(> 200.000 hab.)",0.535170634208182,0.443806806803337,0.445863526395285,0.421590249727277
"26",369336,367992,366990,365723,366534,367719,380664,394768,395697,"Valenciennes (partie française)","grande
(> 200.000 hab.)",0.121593866385949,0.0681882144816237,0.115345921214738,-0.0316388539319812
"27",370328,369795,366813,363766,359979,362410,354280,354052,363231,"Béthune","grande
(> 200.000 hab.)",0.0480215729380618,0.202620413987842,0.278432827488206,0.149613342929955
"28",347397,346204,338544,334313,320873,310432,302392,291032,261904,"Le Mans","grande
(> 200.000 hab.)",0.114733151538249,0.560920489747363,0.420092901313818,0.587896707719593
"29",322473,318645,313794,313158,310482,299605,284259,271725,239937,"Reims","grande
(> 200.000 hab.)",0.398852687303508,0.384259159248135,0.0676516784194003,0.122674137939605
"30",319947,315982,312743,310542,304790,293429,284648,272240,246059,"Brest","grande
(> 200.000 hab.)",0.416535344890145,0.257919113963223,0.235697633708698,0.267444754986035
"31",323336,313861,300221,289497,260977,241758,222158,193323,178059,"Perpignan","grande
(> 200.000 hab.)",0.99632450582019,1.11697567193314,1.21984467663183,1.49263957351935
"32",289134,290037,293361,296366,301659,303538,298532,300576,281761,"Le Havre","grande
(> 200.000 hab.)",-0.1038877518449,-0.284480372754259,-0.339131793110237,-0.252567130496439
"33",297468,293995,292108,290280,286536,278823,271586,262417,239926,"Amiens","grande
(> 200.000 hab.)",0.392230410749006,0.161108728183956,0.209473172133268,0.185626239720871
"34",285121,286390,281338,278933,271761,261835,255570,250799,227262,"Mulhouse","grande
(> 200.000 hab.)",-0.147919381423944,0.445934461852637,0.286582660385926,0.372816180631252
"35",283557,282233,280412,272287,259890,253797,250952,240630,223389,"Limoges","grande
(> 200.000 hab.)",0.156128094392249,0.161956524976703,0.984928578559274,0.667909094820907
"36",301224,291443,277778,269650,248990,231220,213405,199464,184914,"Bayonne (partie française)","grande
(> 200.000 hab.)",1.10640008700202,1.20779091320298,0.994829577973499,1.14525246837291
"37",320475,300200,269360,250837,218307,194444,161479,142550,108251,"Genève (SUI) - Annemasse (partie française)","grande
(> 200.000 hab.)",2.20241452581151,2.74705817587317,2.40327238807638,2.00411805202887
"38",256100,257269,259175,261292,267270,266395,265965,247214,215710,"Dunkerque","grande
(> 200.000 hab.)",-0.151692726631714,-0.184361822118917,-0.270800894364442,-0.322633095728408
"39",264453,254619,248772,241304,223966,205113,193628,179352,159637,"Poitiers","grande
(> 200.000 hab.)",1.27118613095349,0.582477236514412,1.02115405283156,1.07088326988507
"40",268087,264647,248805,246516,223942,206404,183393,170300,156800,"Nîmes","grande
(> 200.000 hab.)",0.431417677604284,1.55515372305077,0.308560304564431,1.38145236507281
"41",251293,247579,243173,238659,226241,211592,198579,190969,171123,"Besançon","grande
(> 200.000 hab.)",0.497562619077541,0.449924102861532,0.626533538985097,0.766277451616171
"42",243901,241495,240365,236600,220100,210506,198730,185566,167073,"Pau","grande
(> 200.000 hab.)",0.331001146616705,0.117322958726285,0.527642148358121,1.03805021576491
"43",218689,216977,213117,210271,202911,200744,188989,178922,166134,"Lorient","grande
(> 200.000 hab.)",0.262319191867211,0.449759557438334,0.449143496589932,0.510293523494543
"44",236407,226559,213814,208589,191904,171426,150247,135728,111037,"Annecy","grande
(> 200.000 hab.)",1.42842247382438,1.4579995797305,0.828098911319697,1.19812876613479
"45",224811,218448,208508,205888,191464,174131,158581,145637,128583,"Chambéry","grande
(> 200.000 hab.)",0.961662853495659,1.17106869511612,0.422392178011544,1.04300938907267
"46",220925,215408,208287,205595,190801,183777,179134,168791,156543,"Saint-Nazaire","grande
(> 200.000 hab.)",0.8465421793872,0.843965675932545,0.434565580037827,1.07252813074681
"47",215503,209453,201529,197327,182307,164897,160864,150373,135583,"La Rochelle","grande
(> 200.000 hab.)",0.953701020368225,0.968814891236813,0.70484040654093,1.13742246936759
"48",194943,191324,188594,186083,179545,175502,174385,169015,155122,"Troyes","moyenne",0.626584283177922,0.359940476542664,0.447791121243557,0.512263862629858
"49",182675,180298,177897,174459,168129,166576,162037,153943,144187,"Angoulême","moyenne",0.437540430253947,0.335719941314916,0.652619477658134,0.529370743286695
"50",180075,175751,173862,171670,163381,154577,145748,136808,120471,"Valence","moyenne",0.813464461281255,0.270523743932949,0.423823997956907,0.709492667227729
"51",171506,169864,165363,160750,151524,146131,141949,133773,119381,"Saint-Brieuc","moyenne",0.321185851196137,0.673635269966932,0.947550915881901,0.847951123229707
"52",160121,161464,162650,162061,163545,168107,177505,178224,156464,"Montbéliard","moyenne",-0.27802705946417,-0.182793861187258,0.12100132599413,-0.130134883295985
